mnt_comb,est_before,dens_before,est_after,dens_after,trans_prob,concentration
GLR,0.1,L,0.5,L,0,0
GLR,0.1,L,0.5,H,0,0
GLR,0.1,L,1,L,0,0
GLR,0.1,L,1,H,0,0
G+BR,0.1,L,0.1,L,0.969626684,0.969626684
G+BR,0.1,L,0.1,H,0.030373316,0.030373316
G+BR,0.1,L,0.5,L,0,0
G+BR,0.1,L,0.5,H,0,0
G+BR,0.1,L,1,L,0,0
G+BR,0.1,L,1,H,0,0
IRR,0.1,L,0.1,L,0.960489429,0.960489429
IRR,0.1,L,0.1,H,0.039510571,0.039510571
IRR,0.1,L,0.5,L,0,0
IRR,0.1,L,0.5,H,0,0
IRR,0.1,L,1,L,0,0
IRR,0.1,L,1,H,0,0
GBR,0.1,L,0.1,L,0.949990699,0.949990699
GBR,0.1,L,0.1,H,0.050009301,0.050009301
GBR,0.1,L,0.5,L,0,0
GBR,0.1,L,0.5,H,0,0
GBR,0.1,L,1,L,0,0
GBR,0.1,L,1,H,0,0
GRR,0.1,L,0.1,L,0.935829705,0.935829705
GRR,0.1,L,0.1,H,0.064170295,0.064170295
GRR,0.1,L,0.5,L,0,0
GRR,0.1,L,0.5,H,0,0
GRR,0.1,L,1,L,0,0
GRR,0.1,L,1,H,0,0
RPF,0.1,L,0.1,L,0.31035085,0.31035085
RPF,0.1,L,0.1,H,0.110003696,0.110003696
RPF,0.1,L,0.5,L,0.427956498,0.427956498
RPF,0.1,L,0.5,H,0.151688956,0.151688956
RPF,0.1,L,1,L,0,0
RPF,0.1,L,1,H,0,0
RRR,0.1,L,0.1,L,0.010345707,0.010345707
RRR,0.1,L,0.1,H,0.007308838,0.007308838
RRR,0.1,L,0.5,L,0.575662423,0.575662423
RRR,0.1,L,0.5,H,0.406683032,0.406683032
RRR,0.1,L,1,L,0,0
RRR,0.1,L,1,H,0,0
CRC,0.1,L,0.1,L,0.998777795,0.998777795
CRC,0.1,L,0.1,H,0.001222205,0.001222205
CRC,0.1,L,0.5,L,0,0
CRC,0.1,L,0.5,H,0,0
CRC,0.1,L,1,L,0,0
CRC,0.1,L,1,H,0,0
SRS,0.1,L,0.1,L,0.939963291,0.939963291
SRS,0.1,L,0.1,H,0.060036709,0.060036709
SRS,0.1,L,0.5,L,0,0
SRS,0.1,L,0.5,H,0,0
SRS,0.1,L,1,L,0,0
SRS,0.1,L,1,H,0,0
GRG,0.5,H,0.1,L,0.947050069,0.947050069
GRG,0.5,H,0.1,H,0.047459931,0.047459931
GRG,0.5,H,0.5,L,0.005228007,0.005228007
GRG,0.5,H,0.5,H,0.000261993,0.000261993
GRG,0.5,H,1,L,0,0
GRG,0.5,H,1,H,0,0
G+PF,0.5,H,0.1,L,0.975125919,0.975125919
G+PF,0.5,H,0.1,H,0.024874081,0.024874081
G+PF,0.5,H,0.5,L,0,0
G+PF,0.5,H,0.5,H,0,0
G+PF,0.5,H,1,L,0,0
G+PF,0.5,H,1,H,0,0
GPF,0.5,H,0.1,L,0.894533885,0.894533885
GPF,0.5,H,0.1,H,0.058813615,0.058813615
GPF,0.5,H,0.5,L,0.043774429,0.043774429
GPF,0.5,H,0.5,H,0.002878071,0.002878071
GPF,0.5,H,1,L,0,0
GPF,0.5,H,1,H,0,0
G+FF,0.5,H,0.1,L,0.932714013,0.932714013
G+FF,0.5,H,0.1,H,0.049230987,0.049230987
G+FF,0.5,H,0.5,L,0.017149791,0.017149791
G+FF,0.5,H,0.5,H,0.000905209,0.000905209
G+FF,0.5,H,1,L,0,0
G+FF,0.5,H,1,H,0,0
G+RR,0.5,H,0.1,L,0.368019881,0.368019881
G+RR,0.5,H,0.1,H,0.076265119,0.076265119
G+RR,0.5,H,0.5,L,0.460322018,0.460322018
G+RR,0.5,H,0.5,H,0.095392982,0.095392982
G+RR,0.5,H,1,L,0,0
G+RR,0.5,H,1,H,0,0
GFF,0.5,H,0.1,L,0.631442905,0.631442905
GFF,0.5,H,0.1,H,0.071474595,0.071474595
GFF,0.5,H,0.5,L,0.26687433,0.26687433
GFF,0.5,H,0.5,H,0.03020817,0.03020817
GFF,0.5,H,1,L,0,0
GFF,0.5,H,1,H,0,0
G+LR,0.5,H,0.1,L,0.608807927,0.608807927
G+LR,0.5,H,0.1,H,0.069839573,0.069839573
G+LR,0.5,H,0.5,L,0.288282134,0.288282134
G+LR,0.5,H,0.5,H,0.033070366,0.033070366
G+LR,0.5,H,1,L,0,0
G+LR,0.5,H,1,H,0,0
GLR,0.5,H,0.1,L,0.343944404,0.343944404
GLR,0.5,H,0.1,H,0.076058096,0.076058096
GLR,0.5,H,0.5,L,0.474965969,0.474965969
GLR,0.5,H,0.5,H,0.105031531,0.105031531
GLR,0.5,H,1,L,0,0
GLR,0.5,H,1,H,0,0
G+BR,0.5,H,0.1,L,0.557078043,0.557078043
G+BR,0.5,H,0.1,H,0.071469457,0.071469457
G+BR,0.5,H,0.5,L,0.32921622,0.32921622
G+BR,0.5,H,0.5,H,0.04223628,0.04223628
G+BR,0.5,H,1,L,0,0
G+BR,0.5,H,1,H,0,0
IRR,0.5,H,0.1,L,0.388850541,0.388850541
IRR,0.5,H,0.1,H,0.076064459,0.076064459
IRR,0.5,H,0.5,L,0.44754007,0.44754007
IRR,0.5,H,0.5,H,0.08754493,0.08754493
IRR,0.5,H,1,L,0,0
IRR,0.5,H,1,H,0,0
GBR,0.5,H,0.1,L,0.308656491,0.308656491
GBR,0.5,H,0.1,H,0.075571009,0.075571009
GBR,0.5,H,0.5,L,0.494660531,0.494660531
GBR,0.5,H,0.5,H,0.121111969,0.121111969
GBR,0.5,H,1,L,0,0
GBR,0.5,H,1,H,0,0
GRR,0.5,H,0.1,L,0.179276978,0.179276978
GRR,0.5,H,0.1,H,0.068648022,0.068648022
GRR,0.5,H,0.5,L,0.543832744,0.543832744
GRR,0.5,H,0.5,H,0.208242256,0.208242256
GRR,0.5,H,1,L,0,0
GRR,0.5,H,1,H,0,0
RPF,0.5,H,0.1,L,0,0
RPF,0.5,H,0.1,H,0,0
RPF,0.5,H,0.5,L,0.197445805,0.197445805
RPF,0.5,H,0.5,H,0.802549195,0.802549195
RPF,0.5,H,1,L,9.87E-07,9.87E-07
RPF,0.5,H,1,H,4.01E-06,4.01E-06
RRR,0.5,H,0.1,L,0,0
RRR,0.5,H,0.1,H,0,0
RRR,0.5,H,0.5,L,0.022996833,0.022996833
RRR,0.5,H,0.5,H,0.668110667,0.668110667
RRR,0.5,H,1,L,0.010278501,0.010278501
RRR,0.5,H,1,H,0.298613999,0.298613999
CRC,0.5,H,0.1,L,0.995995868,0.995995868
CRC,0.5,H,0.1,H,0.004004132,0.004004132
CRC,0.5,H,0.5,L,0,0
CRC,0.5,H,0.5,H,0,0
CRC,0.5,H,1,L,0,0
CRC,0.5,H,1,H,0,0
SRS,0.5,H,0.1,L,0.274011993,0.274011993
SRS,0.5,H,0.1,H,0.072613007,0.072613007
SRS,0.5,H,0.5,L,0.516502231,0.516502231
SRS,0.5,H,0.5,H,0.136872769,0.136872769
SRS,0.5,H,1,L,0,0
SRS,0.5,H,1,H,0,0
GRG,0.5,L,0.1,L,0.976371292,0.976371292
GRG,0.5,L,0.1,H,0.017881208,0.017881208
GRG,0.5,L,0.5,L,0.005644134,0.005644134
GRG,0.5,L,0.5,H,0.000103366,0.000103366
GRG,0.5,L,1,L,0,0
GRG,0.5,L,1,H,0,0
G+PF,0.5,L,0.1,L,0.991230174,0.991230174
G+PF,0.5,L,0.1,H,0.008764826,0.008764826
G+PF,0.5,L,0.5,L,4.96E-06,4.96E-06
G+PF,0.5,L,0.5,H,4.38E-08,4.38E-08
G+PF,0.5,L,1,L,0,0
G+PF,0.5,L,1,H,0,0
GPF,0.5,L,0.1,L,0.940010469,0.940010469
GPF,0.5,L,0.1,H,0.020899531,0.020899531
GPF,0.5,L,0.5,L,0.038239803,0.038239803
GPF,0.5,L,0.5,H,0.000850197,0.000850197
GPF,0.5,L,1,L,0,0
GPF,0.5,L,1,H,0,0
G+FF,0.5,L,0.1,L,0.968376531,0.968376531
G+FF,0.5,L,0.1,H,0.015750969,0.015750969
G+FF,0.5,L,0.5,L,0.015618461,0.015618461
G+FF,0.5,L,0.5,H,0.000254039,0.000254039
G+FF,0.5,L,1,L,0,0
G+FF,0.5,L,1,H,0,0
G+RR,0.5,L,0.1,L,0.499434598,0.499434598
G+RR,0.5,L,0.1,H,0.021597902,0.021597902
G+RR,0.5,L,0.5,L,0.459113281,0.459113281
G+RR,0.5,L,0.5,H,0.019854219,0.019854219
G+RR,0.5,L,1,L,0,0
G+RR,0.5,L,1,H,0,0
GFF,0.5,L,0.1,L,0.735782256,0.735782256
GFF,0.5,L,0.1,H,0.023750244,0.023750244
GFF,0.5,L,0.5,L,0.232948188,0.232948188
GFF,0.5,L,0.5,H,0.007519312,0.007519312
GFF,0.5,L,1,L,0,0
GFF,0.5,L,1,H,0,0
G+LR,0.5,L,0.1,L,0.714375279,0.714375279
