"mnt_comb","state_begin","state_end","trans_prob","concentration"
"G+PF",3,6,1.85037170770859e-17,1.85037170770859e-17
"G+PF",4,1,0.975125919,0.975125919
"G+PF",4,2,0.024874081,0.024874081
"G+PF",4,3,0,0
"G+PF",4,4,0,0
"G+PF",4,5,0,0
"G+PF",4,6,0,0
"G+PF",5,1,0.335243995,0.335243995
"G+PF",5,2,0.002950005,0.002950005
"G+PF",5,3,0.656033186,0.656033186
"G+PF",5,4,0.005772814,0.005772814
"G+PF",5,5,0,0
"G+PF",5,6,0,0
"G+PF",6,1,0.433490682,0.433490682
"G+PF",6,2,0.011183318,0.011183318
"G+PF",6,3,0.541359842,0.541359842
"G+PF",6,4,0.013966158,0.013966158
"G+PF",6,5,0,0
"G+PF",6,6,0,0
"G+RR",1,1,0.958688201,0.958688201
"G+RR",1,2,0.041311799,0.041311799
"G+RR",1,3,0,0
"G+RR",1,4,0,0
"G+RR",1,5,0,0
"G+RR",1,6,0,0
"G+RR",2,1,0.828964327,0.828964327
"G+RR",2,2,0.171035673,0.171035673
"G+RR",2,3,0,0
"G+RR",2,4,0,0
"G+RR",2,5,0,0
"G+RR",2,6,0,0
"G+RR",3,1,0.499434598,0.499434598
"G+RR",3,2,0.021597902,0.021597902
"G+RR",3,3,0.459113281,0.459113281
"G+RR",3,4,0.019854219,0.019854219
"G+RR",3,5,0,0
"G+RR",3,6,0,0
"G+RR",4,1,0.368019881,0.368019881
"G+RR",4,2,0.076265119,0.076265119
"G+RR",4,3,0.460322018,0.460322018
"G+RR",4,4,0.095392982,0.095392982
"G+RR",4,5,0,0
"G+RR",4,6,0,0
"G+RR",5,1,0,0
"G+RR",5,2,0,0
"G+RR",5,3,0.958372116,0.958372116
"G+RR",5,4,0.041627884,0.041627884
"G+RR",5,5,0,0
"G+RR",5,6,0,0
"G+RR",6,1,0,0
"G+RR",6,2,0,0
"G+RR",6,3,0.827561793,0.827561793
"G+RR",6,4,0.172438207,0.172438207
"G+RR",6,5,0,0
"G+RR",6,6,0,0
"GBR",1,1,0.949990699,0.949990699
"GBR",1,2,0.050009301,0.050009301
"GBR",1,3,0,0
"GBR",1,4,0,0
"GBR",1,5,0,0
"GBR",1,6,0,0
"GBR",2,1,0.803917972,0.803917972
"GBR",2,2,0.196082028,0.196082028
"GBR",2,3,0,0
"GBR",2,4,0,0
"GBR",2,5,0,0
"GBR",2,6,0,0
"GBR",3,1,0.450882687,0.450882687
"GBR",3,2,0.023792313,0.023792313
"GBR",3,3,0.498993938,0.498993938
"GBR",3,4,0.026331062,0.026331062
"GBR",3,5,0,0
"GBR",3,6,0,0
"GBR",4,1,0.308656491,0.308656491
"GBR",4,2,0.075571009,0.075571009
"GBR",4,3,0.494660531,0.494660531
"GBR",4,4,0.121111969,0.121111969
"GBR",4,5,0,0
"GBR",4,6,0,0
"GBR",5,1,0,0
"GBR",5,2,0,0
"GBR",5,3,0.9497262245,0.9497262245
"GBR",5,4,0.0502657745,0.0502657745
"GBR",5,5,7.59950000001414e-06,7.59950000001414e-06
"GBR",5,6,4.01500000014141e-07,4.01500000014141e-07
"GBR",6,1,0,0
"GBR",6,2,0,0
"GBR",6,3,0.80256259475,0.80256259475
"GBR",6,4,0.19743540275,0.19743540275
"GBR",6,5,1.6087500000076e-06,1.6087500000076e-06
"GBR",6,6,3.93750000007597e-07,3.93750000007597e-07
"GFF",1,1,0.968741913,0.968741913
"GFF",1,2,0.031258087,0.031258087
"GFF",1,3,0,0
"GFF",1,4,0,0
"GFF",1,5,0,0
"GFF",1,6,0,0
"GFF",2,1,0.898726949,0.898726949
"GFF",2,2,0.101273051,0.101273051
"GFF",2,3,0,0
"GFF",2,4,0,0
"GFF",2,5,0,0
"GFF",2,6,0,0
"GFF",3,1,0.735782256,0.735782256
"GFF",3,2,0.023750244,0.023750244
"GFF",3,3,0.232948188,0.232948188
"GFF",3,4,0.007519312,0.007519312
"GFF",3,5,0,0
"GFF",3,6,0,0
"GFF",4,1,0.631442905,0.631442905
"GFF",4,2,0.071474595,0.071474595
"GFF",4,3,0.26687433,0.26687433
"GFF",4,4,0.03020817,0.03020817
"GFF",4,5,0,0
"GFF",4,6,0,0
"GFF",5,1,0.000116246666666666,0.000116246666666666
"GFF",5,2,3.75066666666632e-06,3.75066666666632e-06
"GFF",5,3,0.968599858666667,0.968599858666667
"GFF",5,4,0.0312801426666667,0.0312801426666667
"GFF",5,5,6.66666666315763e-10,6.66666666315763e-10
