est_before,dens_before,treatment,est_after,pr_est_after,respondent,change_dens,,,
20,H,RRR,90,0,7,0,,,
20,H,RRR,100,0,7,0,,,
20,H,RRR,10,0,8,0,,,
20,H,RRR,20,0,8,0,,,
20,H,RRR,30,20,8,0,,,
20,H,RRR,40,50,8,0,,,
20,H,RRR,50,30,8,0,,,
20,H,RRR,60,0,8,0,,,
20,H,RRR,70,0,8,0,,,
20,H,RRR,80,0,8,0,,,
20,H,RRR,90,0,8,0,,,
20,H,RRR,100,0,8,0,,,
20,H,RRR,10,0,9,10,,,
20,H,RRR,20,40,9,10,,,
20,H,RRR,30,50,9,10,,,
20,H,RRR,40,10,9,10,,,
20,H,RRR,50,0,9,10,,,
20,H,RRR,60,0,9,10,,,
20,H,RRR,70,0,9,10,,,
20,H,RRR,80,0,9,10,,,
20,H,RRR,90,0,9,10,,,
20,H,RRR,100,0,9,10,,,
80,L,RRR,10,0,1,60,,,
80,L,RRR,20,0,1,60,,,
80,L,RRR,30,0,1,60,,,
80,L,RRR,40,0,1,60,,,
80,L,RRR,50,0,1,60,,,
80,L,RRR,60,0,1,60,,,
80,L,RRR,70,0,1,60,,,
80,L,RRR,80,5,1,60,,,
80,L,RRR,90,95,1,60,,,
80,L,RRR,100,0,1,60,,,
80,L,RRR,10,0,2,50,,,
80,L,RRR,20,0,2,50,,,
80,L,RRR,30,0,2,50,,,
80,L,RRR,40,0,2,50,,,
80,L,RRR,50,0,2,50,,,
80,L,RRR,60,0,2,50,,,
80,L,RRR,70,0,2,50,,,
80,L,RRR,80,0,2,50,,,
80,L,RRR,90,50,2,50,,,
80,L,RRR,100,50,2,50,,,
80,L,RRR,10,0,3,100,,,
80,L,RRR,20,0,3,100,,,
80,L,RRR,30,0,3,100,,,
80,L,RRR,40,0,3,100,,,
80,L,RRR,50,0,3,100,,,
80,L,RRR,60,0,3,100,,,
80,L,RRR,70,0,3,100,,,
80,L,RRR,80,0,3,100,,,
80,L,RRR,90,10,3,100,,,
80,L,RRR,100,90,3,100,,,
80,L,RRR,10,0,4,75,,,
80,L,RRR,20,0,4,75,,,
80,L,RRR,30,0,4,75,,,
80,L,RRR,40,0,4,75,,,
80,L,RRR,50,0,4,75,,,
80,L,RRR,60,0,4,75,,,
80,L,RRR,70,0,4,75,,,
80,L,RRR,80,0,4,75,,,
80,L,RRR,90,90,4,75,,,
80,L,RRR,100,10,4,75,,,
80,L,RRR,10,0,5,80,,,
80,L,RRR,20,0,5,80,,,
80,L,RRR,30,0,5,80,,,
80,L,RRR,40,0,5,80,,,
80,L,RRR,50,0,5,80,,,
80,L,RRR,60,0,5,80,,,
80,L,RRR,70,0,5,80,,,
80,L,RRR,80,20,5,80,,,
80,L,RRR,90,50,5,80,,,
80,L,RRR,100,30,5,80,,,
80,L,RRR,10,0,6,20,,,
80,L,RRR,20,0,6,20,,,
80,L,RRR,30,0,6,20,,,
80,L,RRR,40,0,6,20,,,
80,L,RRR,50,0,6,20,,,
80,L,RRR,60,0,6,20,,,
80,L,RRR,70,0,6,20,,,
80,L,RRR,80,10,6,20,,,
80,L,RRR,90,80,6,20,,,
80,L,RRR,100,10,6,20,,,
80,L,RRR,10,0,7,90,,,
80,L,RRR,20,0,7,90,,,
80,L,RRR,30,0,7,90,,,
80,L,RRR,40,0,7,90,,,
80,L,RRR,50,0,7,90,,,
80,L,RRR,60,0,7,90,,,
80,L,RRR,70,0,7,90,,,
80,L,RRR,80,0,7,90,,,
80,L,RRR,90,70,7,90,,,
80,L,RRR,100,30,7,90,,,
80,L,RRR,10,0,8,90,,,
80,L,RRR,20,0,8,90,,,
80,L,RRR,30,0,8,90,,,
80,L,RRR,40,0,8,90,,,
80,L,RRR,50,0,8,90,,,
80,L,RRR,60,0,8,90,,,
80,L,RRR,70,0,8,90,,,
80,L,RRR,80,0,8,90,,,
80,L,RRR,90,50,8,90,,,
80,L,RRR,100,50,8,90,,,
80,L,RRR,10,0,9,30,,,
80,L,RRR,20,0,9,30,,,
80,L,RRR,30,0,9,30,,,
80,L,RRR,40,0,9,30,,,
80,L,RRR,50,0,9,30,,,
80,L,RRR,60,0,9,30,,,
80,L,RRR,70,0,9,30,,,
80,L,RRR,80,10,9,30,,,
80,L,RRR,90,70,9,30,,,
80,L,RRR,100,20,9,30,,,
80,H,RRR,10,0,1,0,,,
80,H,RRR,20,0,1,0,,,
80,H,RRR,30,0,1,0,,,
80,H,RRR,40,0,1,0,,,
80,H,RRR,50,0,1,0,,,
80,H,RRR,60,0,1,0,,,
80,H,RRR,70,0,1,0,,,
80,H,RRR,80,5,1,0,,,
80,H,RRR,90,95,1,0,,,
80,H,RRR,100,0,1,0,,,
80,H,RRR,10,0,2,0,,,
80,H,RRR,20,0,2,0,,,
80,H,RRR,30,0,2,0,,,
80,H,RRR,40,0,2,0,,,
80,H,RRR,50,0,2,0,,,
80,H,RRR,60,0,2,0,,,
80,H,RRR,70,0,2,0,,,
80,H,RRR,80,0,2,0,,,
80,H,RRR,90,30,2,0,,,
80,H,RRR,100,70,2,0,,,
80,H,RRR,10,0,3,0,,,
80,H,RRR,20,0,3,0,,,
80,H,RRR,30,0,3,0,,,
80,H,RRR,40,0,3,0,,,
80,H,RRR,50,0,3,0,,,
80,H,RRR,60,0,3,0,,,
80,H,RRR,70,0,3,0,,,
80,H,RRR,80,0,3,0,,,
80,H,RRR,90,0,3,0,,,
80,H,RRR,100,100,3,0,,,
80,H,RRR,10,0,4,0,,,
80,H,RRR,20,0,4,0,,,
80,H,RRR,30,0,4,0,,,
80,H,RRR,40,0,4,0,,,
80,H,RRR,50,0,4,0,,,
80,H,RRR,60,0,4,0,,,
80,H,RRR,70,0,4,0,,,
80,H,RRR,80,0,4,0,,,
80,H,RRR,90,75,4,0,,,
80,H,RRR,100,25,4,0,,,
80,H,RRR,10,0,5,10,,,
80,H,RRR,20,0,5,10,,,
80,H,RRR,30,0,5,10,,,
80,H,RRR,40,0,5,10,,,
80,H,RRR,50,0,5,10,,,
80,H,RRR,60,0,5,10,,,
80,H,RRR,70,0,5,10,,,
80,H,RRR,80,20,5,10,,,
80,H,RRR,90,40,5,10,,,
80,H,RRR,100,40,5,10,,,
80,H,RRR,10,0,6,0,,,
80,H,RRR,20,0,6,0,,,
80,H,RRR,30,0,6,0,,,
80,H,RRR,40,0,6,0,,,
80,H,RRR,50,0,6,0,,,
80,H,RRR,60,0,6,0,,,
80,H,RRR,70,0,6,0,,,
80,H,RRR,80,0,6,0,,,
80,H,RRR,90,10,6,0,,,
80,H,RRR,100,90,6,0,,,
80,H,RRR,10,0,7,0,,,
80,H,RRR,20,0,7,0,,,
80,H,RRR,30,0,7,0,,,
80,H,RRR,40,0,7,0,,,
80,H,RRR,50,0,7,0,,,
80,H,RRR,60,0,7,0,,,
80,H,RRR,70,0,7,0,,,
80,H,RRR,80,0,7,0,,,
80,H,RRR,90,90,7,0,,,
80,H,RRR,100,10,7,0,,,
80,H,RRR,10,0,8,0,,,
80,H,RRR,20,0,8,0,,,
80,H,RRR,30,0,8,0,,,
80,H,RRR,40,0,8,0,,,
80,H,RRR,50,0,8,0,,,
80,H,RRR,60,0,8,0,,,
80,H,RRR,70,0,8,0,,,
80,H,RRR,80,0,8,0,,,
80,H,RRR,90,30,8,0,,,
80,H,RRR,100,70,8,0,,,
80,H,RRR,10,0,9,5,,,
80,H,RRR,20,0,9,5,,,
80,H,RRR,30,0,9,5,,,
80,H,RRR,40,0,9,5,,,
80,H,RRR,50,0,9,5,,,
80,H,RRR,60,0,9,5,,,
80,H,RRR,70,0,9,5,,,
80,H,RRR,80,2,9,5,,,
80,H,RRR,90,83,9,5,,,
80,H,RRR,100,15,9,5,,,
