type,name,unit,cost_per_unit,herb_code,cost_year,web_source,source_date,note
fuel,gas,gallon,3.02,,2018,AAA ,2018,"Location: New York, USA"
fuel,gas,gallon,2.75,,2018,AAA ,2018,"Location: Minnesota, USA"
fuel,gas,gallon,4.3,,2018,globalpetrolprices.com,18-Jul,Canada
fuel,diesel,gallon,3.26,,2018,AAA ,2018,"Location: Michigan, USA"
fuel,diesel,gallon,3.18,,2018,AAA ,2018,"Location: Wisconsin, USA"
fuel,diesel,gallon,3.07,,2018,AAA ,2018,"Location: Illinois, USA"
fuel,diesel,gallon,3.22,,2018,AAA ,2018,"Location: Indiana, USA"
fuel,diesel,gallon,3.06,,2018,AAA ,2018,"Location: Ohio, USA"
fuel,diesel,gallon,3.01,,2018,AAA ,2018,"Location: Pennsylvania, USA"
fuel,diesel,gallon,3.35,,2018,AAA ,2018,"Location: New York, USA"
fuel,diesel,gallon,3.15,,2018,AAA ,2018,"Location: Minnesota, USA"
fuel,diesel,gallon,3.79,,2018,globalpetrolprices.com ,18-Jul,Canada
fuel,jet,gallon,2.028571429,,2018,IATA.org,2018,North America
fuel,jet,gallon,6.61,,2018,100LL.com,2018,Northcentral US
fuel,jet,gallon,4.97,,2018,100LL.com,2018,Northeast US
fuel,jet,gallon,5.02,,2018,100LL.com,2018,Northwest US
fuel,avgas,gallon,5.74,,2018,100LL.com,2018,Northwest US
fuel,avgas,gallon,5.49,,2018,100LL.com,2018,Northeast US
fuel,avgas,gallon,5.19,,2018,100LL.com,2018,Northcentral US
electricity,electricity,kWh,0.1105,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Michigan, USA"
electricity,electricity,kWh,0.0984,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Ohio, USA"
electricity,electricity,kWh,0.1447,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: New York, USA"
electricity,electricity,kWh,0.1019,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Pennsylvania, USA"
electricity,electricity,kWh,0.1067,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Wisconsin, USA"
electricity,electricity,kWh,0.0922,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Indiana, USA"
electricity,electricity,kWh,0.938,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Illinois, USA"
electricity,electricity,kWh,0.0999,,2018,http://www.neo.ne.gov/statshtml/204.htm,2018,"Location: Minnesota, USA"
electricity,electricity,kWh,0.072,,2018,https://www.oeb.ca/rates-and-your-bill/electricity-rates,10-Jul-18,"Location: Ontario, Canada"
